Rank,Player,Team,Position,Salary
356,Pickett,DEN,PG,2056971
357,Houstan,ORL,SF,2051850
358,Williams,OKC,C,2051850
359,Phillips,CHI,SF,2029935
360,Ryan,NOP,SF,2026157
361,Mamukelashvili,SAS,C,2019706
362,Watford,BKN,PF,2019706
363,Jr.,CLE,G,2004935
364,Joe,OKC,SG,1999440
365,Lawson,DAL,F,1978006
366,Robinson,MIA,C,1961231
367,Butler,WAS,PG,1942824
368,Gill,WAS,PF,1916664
369,Bazley,UTA,PF,1915000
370,Camara,POR,PF,1909826
371,Gueye,ATL,PF,1909826
372,Jr.,MIL,SG,1909826
373,Lewis,LAL,SF,1909826
374,Livingston,MIL,SF,1909826
375,Tyson,DEN,SF,1909826
376,Walsh,BOS,SF,1909826
377,Hauser,BOS,SF,1886069
378,Sims,NYK,C,1886069
379,IV,PHI,G,1846023
380,Brown,IND,SF,1840760
381,Edwards,SAC,SF,1782931
382,McGowens,CHA,SG,1750504
383,Cissoko,SAS,SG,1744366
384,Rupert,POR,SG,1744366
385,Minott,MIN,SF,1736199
386,Alvarado,NOP,PG,1722053
387,Ellis,SAC,SF,1701903
388,Merrill,CLE,SG,1670744
389,Dunn,UTA,PG,1661242
390,Thor,CHA,PF,1659553
391,Wilson,BKN,PF,1654511
392,Jr.,UTA,PF,1640760
393,Tillman,BOS,C,1632821
394,Wiggins,OKC,SG,1597053
395,Hardy,DAL,SG,1585781
396,Walker,POR,SF,1585781
397,Dinwiddie,LAL,PG,1554664
398,Omoruyi,WAS,SF,1548485
399,Bitim,CHI,SG,1537845
400,Jr.,PHI,SF,1532398
401,III,OKC,SF,1481533
402,Jr,LAC,SG,1441624
403,McBride,NYK,PG,1441624
404,Metu,DET,C,1435213
405,Robinson-Earl,NOP,PF,1422907
406,Pokusevski,CHA,PF,1419214
407,Christie,LAL,SG,1368823
408,Jeffries,NYK,SG,1362620
409,Bitadze,ORL,C,1339383
410,Marshall,NOP,SF,1337821
411,Umude,DET,G,1329577
412,Highsmith,MIA,F,1315247
413,Diakite,NYK,PF,1262889
414,Samanic,UTA,PF,1249690
415,Johnson,IND,PF,1230816
416,Biyombo,OKC,C,1194075
417,Dowtin,PHI,PG,1162327
418,Queta,BOS,C,1139112
419,Jones,LAC,PF,1104289
420,Freeman-Liberty,TOR,G,1090700
421,Gallinari,MIL,PF,1047112
422,Young,PHX,PF,1010371
423,Wright,MIA,PG,947205
424,Muscala,OKC,C/PF,808297
425,Mills,MIA,PG,734816
426,Forrest,ATL,PG,553151
427,Milton,NYK,SG,552938
428,Gibson,DET,C,551112
429,Barlow,SAS,PF,455620
430,Warren,MIN,SF,317307
431,Sr.,CLE,SF,312297
432,Green,CHI,SG,136868
433,Garza,MIN,C,127683
434,Thomas,PHX,PG,110222
435,Metu,PHX,C,50000
436,Williams,TOR,C,12869
